City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
1203,Najran,SA,17.4924,44.1277,92.19,18,100,18.86,overcast clouds
1204,Svalyava,UA,48.5485,22.9958,75.47,48,19,6.44,few clouds
1205,Hilo,US,19.7297,-155.09,72.63,92,17,1.01,few clouds
1206,Nurota,UZ,40.5614,65.6886,86.09,18,0,5.91,clear sky
1207,East London,ZA,-33.0153,27.9116,63.54,63,0,21.85,clear sky
1208,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
1209,Povenets,RU,62.8487,34.8262,63.54,60,87,6.22,overcast clouds
1210,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,61,0,10.36,clear sky
1211,Adrar,MR,20.5022,-10.0711,106.92,15,61,8.37,broken clouds
1212,Pokhvistnevo,RU,53.6524,52.1274,92.1,17,91,7.0,overcast clouds
1213,Malanje,AO,-9.5402,16.341,88.65,21,41,7.49,scattered clouds
1214,Chapais,CA,49.7834,-74.8492,82.36,51,6,5.55,clear sky
1215,Narsaq,GL,60.9167,-46.05,57.42,52,91,13.65,overcast clouds
1216,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.91,broken clouds
1217,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
1218,Hermanus,ZA,-34.4187,19.2345,59.81,60,4,10.29,clear sky
1219,Castro,BR,-24.7911,-50.0119,78.69,30,0,4.88,clear sky
1220,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
1221,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1222,Khatanga,RU,71.9667,102.5,44.24,85,100,5.99,overcast clouds
1223,Waipawa,NZ,-41.4122,175.5153,39.83,85,13,6.98,few clouds
1224,Kavieng,PG,-2.5744,150.7967,81.72,80,100,15.99,overcast clouds
1225,Nikolskoye,RU,59.7035,30.7861,63.01,77,75,5.23,broken clouds
1226,Dikson,RU,73.5069,80.5464,42.82,95,100,20.42,overcast clouds
1227,Dikson,RU,73.5069,80.5464,42.82,95,100,20.42,overcast clouds
1228,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,95,5.01,light rain
1229,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.91,broken clouds
1230,Cabo San Lucas,MX,22.8909,-109.9124,87.51,74,2,10.0,clear sky
1231,Cabo San Lucas,MX,22.8909,-109.9124,87.51,74,2,10.0,clear sky
1232,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1233,Terekli-Mekteb,RU,44.1671,45.8698,90.72,36,34,9.57,scattered clouds
1234,Avarua,CK,-21.2078,-159.775,69.85,94,100,3.44,overcast clouds
1235,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,95,5.01,light rain
